OrganizationName,Month,VisitCount
BGC Dane County/Admin,1,3
BGC Dane County/Admin,10,9
BGC Dane County/Admin,11,6
BGCDC Allied Branch,1,12269
BGCDC Allied Branch,2,2816
BGCDC Allied Branch,3,2200
BGCDC Allied Branch,4,1364
BGCDC Allied Branch,5,1169
BGCDC Allied Branch,6,1448
BGCDC Allied Branch,7,2685
BGCDC Allied Branch,8,1167
BGCDC Allied Branch,9,1011
BGCDC Allied Branch,10,1421
BGCDC Allied Branch,11,1329
BGCDC Allied Branch,12,1683
BGCDC McKenzie Regional Workforce Center,10,9
BGCDC Sun Prairie,1,2147
BGCDC Sun Prairie,2,2085
BGCDC Sun Prairie,3,2098
BGCDC Sun Prairie,4,2029
BGCDC Sun Prairie,5,2168
BGCDC Sun Prairie,6,2382
BGCDC Sun Prairie,7,3108
BGCDC Sun Prairie,8,2498
BGCDC Sun Prairie,9,2332
BGCDC Sun Prairie,10,2811
BGCDC Sun Prairie,11,2704
BGCDC Sun Prairie,12,1894
BGCDC Taft Branch,1,2496
BGCDC Taft Branch,2,2721
BGCDC Taft Branch,3,2129
BGCDC Taft Branch,4,1621
BGCDC Taft Branch,5,1663
BGCDC Taft Branch,6,1553
BGCDC Taft Branch,7,2576
BGCDC Taft Branch,8,2039
BGCDC Taft Branch,9,1756
BGCDC Taft Branch,10,2125
BGCDC Taft Branch,11,2170
BGCDC Taft Branch,12,1518
BGCDC Walco,1,612
BGCDC Walco,2,783
BGCDC Walco,3,750
BGCDC Walco,4,892
BGCDC Walco,5,994
BGCDC Walco,6,161
BGCDC Walco,7,327
BGCDC Walco,8,757
BGCDC Walco,9,404
BGCDC Walco,10,935
BGCDC Walco,11,1545
BGCDC Walco,12,915
